#TYPE System.Management.Automation.PSCustomObject
"IsNet6","URL","Name","Size","SHA1"
"False","https://download.ericzimmermanstools.com/Get-ZimmermanTools.zip","Get-ZimmermanTools.zip","10502","""d45becd9pxqk83q"""
"True","https://download.ericzimmermanstools.com/net6/AmcacheParser.zip","AmcacheParser.zip","2360293","""css2p4ce6z8g1el7p"""
"True","https://download.ericzimmermanstools.com/net6/AppCompatCacheParser.zip","AppCompatCacheParser.zip","2262497","""cr0fcfry3ido1chr5"""
"True","https://download.ericzimmermanstools.com/net6/bstrings.zip","bstrings.zip","1473298","""ck4qjn8w595wvksy"""
"True","https://download.ericzimmermanstools.com/net6/EvtxECmd.zip","EvtxECmd.zip","4130004","""d5cq278o7bv42giqc"""
"True","https://download.ericzimmermanstools.com/net6/EZViewer.zip","EZViewer.zip","82580608","""cjb41pcpa6501d5zls"""
"True","https://download.ericzimmermanstools.com/net6/JLECmd.zip","JLECmd.zip","2875040","""cwa3n516l3ao1pme8"""
"True","https://download.ericzimmermanstools.com/net6/JumpListExplorer.zip","JumpListExplorer.zip","90089651","""cwa3s0z7t3yc1hmxmb"""
"True","https://download.ericzimmermanstools.com/net6/LECmd.zip","LECmd.zip","2938780","""d1zsfm4unw1g1qzks"""
"True","https://download.ericzimmermanstools.com/net6/MFTECmd.zip","MFTECmd.zip","2969410","""d3xjhvjup3w01rn7m"""
"True","https://download.ericzimmermanstools.com/net6/MFTExplorer.zip","MFTExplorer.zip","82754162","""chex9w8mdvv81d9piq"""
"True","https://download.ericzimmermanstools.com/net6/PECmd.zip","PECmd.zip","2403899","""d43ratolcxig1fiuz"""
"True","https://download.ericzimmermanstools.com/net6/RBCmd.zip","RBCmd.zip","1819172","""cly9clrr35dg12zok"""
"True","https://download.ericzimmermanstools.com/net6/RecentFileCacheParser.zip","RecentFileCacheParser.zip","1722133","""ckqssy45gas410wt1"""
"True","https://download.ericzimmermanstools.com/net6/RECmd.zip","RECmd.zip","3944236","""d5wecus3t3ss2cje4"""
"True","https://download.ericzimmermanstools.com/net6/RegistryExplorer.zip","RegistryExplorer.zip","96394953","""d5cqy2v819cw1le2tl"""
"True","https://download.ericzimmermanstools.com/net6/rla.zip","rla.zip","2860194","""d5wecyj71f0s1paxu"""
"True","https://download.ericzimmermanstools.com/net6/SDBExplorer.zip","SDBExplorer.zip","82454727","""chexacvwssgc1d3ah3"""
"True","https://download.ericzimmermanstools.com/net6/SBECmd.zip","SBECmd.zip","3785615","""czthxdnjqwwo294zz"""
"True","https://download.ericzimmermanstools.com/net6/ShellBagsExplorer.zip","ShellBagsExplorer.zip","91768358","""cw0py9qun3jw1imwx2"""
"True","https://download.ericzimmermanstools.com/net6/SQLECmd.zip","SQLECmd.zip","5292137","""d5cq159bboks35fft"""
"True","https://download.ericzimmermanstools.com/net6/SrumECmd.zip","SrumECmd.zip","2400622","""cnvwd1a65low1fgby"""
"True","https://download.ericzimmermanstools.com/net6/SumECmd.zip","SumECmd.zip","2023009","""chbeihnfc1ms17cyp"""
"True","https://download.ericzimmermanstools.com/net6/TimelineExplorer.zip","TimelineExplorer.zip","90548548","""d3yhq4u0mwrc1hwrpg"""
"True","https://download.ericzimmermanstools.com/net6/VSCMount.zip","VSCMount.zip","1546539","""chbus6m4f5a0x5bf"""
"True","https://download.ericzimmermanstools.com/net6/WxTCmd.zip","WxTCmd.zip","3698112","""chcqx2kbpo80279hc"""
"True","https://download.ericzimmermanstools.com/net6/iisGeolocate.zip","iisGeolocate.zip","36676319","""cm9zvm012vmslu3mn"""
